ticker,pe,roe,analyst_rating_raw
2445.T,14.790528,0.0,none
2449.T,10.245673,0.09736,none
2452.T,0.0,0.0,none
2454.T,89.32039,-0.0067299996,none
2459.T,0.0,-0.30361998,none
2461.T,22.678844,0.07335,none
2462.T,13.418874,0.1341,none
2464.T,18.115183,0.03612,none
2469.T,16.58353,0.23327999,none
2471.T,14.3244705,0.14418,none
2475.T,9.442743,0.09974,none
2477.T,15.105775,0.06313,none
2479.T,10.123352,0.107200004,none
2480.T,16.403603,0.098620005,none
2481.T,9.9408455,0.07535,none
2483.T,8.163359,0.09791,none
2484.T,168.42105,-0.20291,none
2485.T,13.005051,0.0857,none
2488.T,10.741437,0.11047,none
2489.T,43.49845,0.02076,none
2491.T,20.879608,0.038900003,none
2492.T,54.641598,0.16656,buy
2497.T,10.2004,-0.07064,none
2493.T,30.861965,0.03579,none
2498.T,9.832872,0.14713,none
2501.T,48.539295,0.072340004,underperform
2499.T,12.57837,0.062750004,none
2502.T,14.064259,0.05805,none
2503.T,14.577499,0.11389,buy
2531.T,26.955202,0.03949,none
2540.T,75.1922,0.015520001,none
2533.T,7.9707494,0.119219996,none
2579.T,38.77071,-0.11969,buy
2573.T,35.714287,0.03907,none
2585.T,22.987032,0.23965,buy
2586.T,24.406048,0.05617,none
2587.T,16.340097,0.08036,hold
2590.T,26.871988,-0.39558,none
2588.T,17.699324,0.25823,none
2593.T,25.0,0.01713,none
2594.T,72.98194,0.010650001,none
2597.T,21.598574,0.09899,none
2602.T,7.8125,0.11686,strong_buy
2613.T,13.423119,0.03498,none
2607.T,36.080048,0.0,none
2612.T,16.694492,0.078,none
2652.T,9.606987,0.09157,none
2653.T,14.662387,0.12810001,none
2654.T,19.08615,0.04447,none
2664.T,14.792613,0.03799,none
2656.T,0.0,-1.5167799,none
2659.T,19.417757,0.07381,buy
2666.T,7.8721375,0.04,none
2668.T,13.812772,0.14494,none
2667.T,0.0,-0.54605997,none
2670.T,15.384821,0.0,buy
2669.T,20.57624,0.04168,none
2673.T,15.771812,0.05367,none
2676.T,44.444443,0.0881,none
2674.T,12.869674,0.12816,none
2678.T,9.646533,-0.15322,hold
2681.T,14.925373,0.060289998,none
2683.T,114.98856,0.05009,none
2686.T,0.0,0.02441,none
2685.T,14.836578,0.11936,buy
2689.T,10.131693,0.104169995,none
2687.T,10.448678,0.04208,none
2692.T,19.960049,0.07042,none
2693.T,53.430355,0.00348,none
2694.T,0.0,-0.11971,none
2695.T,39.216766,0.04163,none
2698.T,117.6259,0.05883,none
2700.T,3.0637326,0.30532,none
2702.T,33.237846,0.12712,none
2705.T,47.170437,0.29885998,none
2708.T,5.98089,0.18271999,none
2721.T,0.0,-5.95349,none
2722.T,12.346457,0.10451,none
2730.T,17.921543,0.06372,none
2726.T,0.008997182,0.22409001,strong_buy
2733.T,10.351793,0.07383,none
2734.T,11.79302,0.07492,none
2735.T,9.487723,0.06847,none
2737.T,13.462054,0.15467,none
2736.T,13.946083,0.113170005,none
2747.T,26.665508,0.060549997,none
2742.T,10.660879,0.1311,none
2749.T,15.975387,0.0,none
2750.T,8.802624,0.12267,none
2751.T,25.906218,0.114779994,none
2753.T,23.393232,0.057140004,strong_buy
2752.T,624.85876,0.01043,none
2760.T,13.17545,0.0,none
2762.T,0.0,-2.42922,none
2763.T,6.7024426,0.17684,none
2767.T,5.099368,0.31019,none
2764.T,0.0,-0.0058099995,none
2768.T,12.269962,0.11336,buy
2769.T,0.0,-0.92866,none
2776.T,0.0,0.0996,none
2780.T,15.479925,0.12589,none
2778.T,67.41573,0.013300001,none
2782.T,21.645561,0.12371001,hold
2784.T,18.83208,0.06875,none
2788.T,5.747503,0.0785,none
2790.T,81.63341,0.00357,none
2789.T,11.217872,0.11482,none
2791.T,12.437997,0.09483,none
2792.T,12.1505995,0.06879,none
2795.T,12.343182,0.041479997,none
2798.T,32.257362,0.45185003,none
2796.T,0.0,-0.01679,none
2801.T,24.818167,0.1104,buy
2802.T,125.01326,0.10297,buy
2804.T,9.727627,0.10389,none
2805.T,15.999746,0.091730006,none
2806.T,23.473707,0.02152,none
2810.T,23.148012,0.041929998,none
2809.T,18.484423,0.09979,none
2811.T,17.920902,0.075279996,none
2813.T,9.216536,0.12189,none
2814.T,15.974359,0.033800002,none
2816.T,45.25571,0.09382,none
2815.T,18.017736,0.07216,none
2818.T,0.0,-0.0107700005,none
2819.T,18.248484,0.04833,none
2820.T,16.18117,0.17607,none
2831.T,13.157894,0.0572,none
2871.T,19.282057,0.09810001,none
2872.T,31.041058,0.01681,none
2874.T,49.25684,0.03824,none
2875.T,17.574623,0.13028,buy
2876.T,0.0,0.07056,none
2877.T,18.246042,0.028350001,none
2882.T,76.91137,0.01131,none
2883.T,0.0,-0.07297,none
2884.T,14.203946,0.14027001,none
2892.T,13.227336,0.0,none
2894.T,13.944879,0.10702,none
2897.T,18.796629,0.10299,buy
2901.T,16.314339,0.0,none
2903.T,16.393959,0.066750005,none
2904.T,34.96344,0.024300002,none
2907.T,12.936074,0.030250002,none
2908.T,33.901917,0.01967,none
2910.T,303.0769,0.00117,none
2911.T,15.57624,0.03395,none
2914.T,21.459564,0.12583,buy
2915.T,13.927897,0.064109996,none
2917.T,0.0,-0.00017000001,none
2916.T,36.629097,0.02954,none
2918.T,13.19285,0.08294,buy
2922.T,28.088888,0.03799,none
2923.T,11.848417,0.16615999,none
2924.T,7.3260922,0.17045,none
2926.T,37.17472,0.10065,none
2927.T,8.665241,0.10159001,none
2929.T,4.594595,-0.15447,none
2930.T,18.30161,0.0923,none
2932.T,9.041538,0.26999,none
2931.T,-164.4,0.01735,none
2933.T,15.174985,0.05372,none
2934.T,21.26039,-0.058579996,none
2935.T,12.531917,0.06676,none
2936.T,30.406654,0.48101002,none
2937.T,31.151737,0.10917,none
2938.T,27.470142,0.14083,none
