ticker,name,sector,market,current_price,annual_return,volatility,annual_dividend_per_share,pe,roe,analyst_rating
217A.T,サポート,サービス業,PRO Market,382.0,0.0,0.0,0.0,5.0276384,0.27613002,-
2180.T,サニーサイドアップグループ,サービス業,スタンダード（内国株式）,1307.0,1.2520713506714498,0.4423942419447061,11.0,9.16187,0.31308,-
2183.T,リニカル,サービス業,スタンダード（内国株式）,210.0,-0.36139682565608444,0.2827274620318261,8.0,10.978724,-0.26568002,-
2185.T,シイエム・シイ,サービス業,スタンダード（内国株式）,1900.0,0.2851918155885821,0.17911526108557585,55.0,11.574074,0.11298,-
2195.T,アミタホールディングス,サービス業,グロース（内国株式）,336.0,-0.12130292410915589,0.745497969018658,5.0,27.48307,0.10813,-
2198.T,アイ・ケイ・ケイホールディングス,サービス業,プライム（内国株式）,768.0,0.000685923583579729,0.15597448411595619,24.0,11.990583,0.20709999,-
219A.T,Ｈｅａｒｔｓｅｅｄ,医薬品,グロース（内国株式）,1812.0,-0.486685552407932,0.8137710449358612,0.0,211.61676,0.083500005,-
2207.T,ｍｅｉｔｏ,食料品,プライム（内国株式）,3245.0,0.530422094879464,0.2031119964779382,55.0,15.079366,0.05481,-
2208.T,ブルボン,食料品,スタンダード（内国株式）,3150.0,0.25052301392096593,0.199777584179528,42.0,15.822939,0.08568,-
220A.T,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,情報・通信業,スタンダード（内国株式）,943.0,-0.1143317736131482,0.34766995146283675,30.0,10.6636305,0.10208,-
2212.T,山崎製パン,食料品,プライム（内国株式）,3544.0,0.06923758997153703,0.26817088134599276,60.0,16.102842,0.08948,買い
2215.T,第一屋製パン,食料品,スタンダード（内国株式）,611.0,0.14205607476635515,0.17449516543088264,0.0,13.179465,0.038540002,-
2216.T,カンロ,食料品,スタンダード（内国株式）,1112.0,-0.4261038919393698,0.40776453416065184,32.0,15.198403,0.18864,-
2220.T,亀田製菓,食料品,プライム（内国株式）,1300.0,-0.07501557984153076,0.21938219825636776,22.0,3.509968,0.31041,-
2221.T,岩塚製菓,食料品,スタンダード（内国株式）,3075.0,0.029964246620307153,0.12054137531366599,32.0,16.638765,0.033299997,-
2222.T,寿スピリッツ,食料品,プライム（内国株式）,2609.0,0.37348165759930946,0.3016251632600739,35.0,23.584545,0.29391,強気買い
222A.T,ＮＩＣＳ,情報・通信業,PRO Market,60.0,0.01694915254237288,0.017260172109061504,1.0,6.4239826,0.0,-
2266.T,六甲バター,食料品,プライム（内国株式）,1058.0,-0.14588561215793586,0.1859160319708215,20.0,15.527869,0.0,-
2268.T,Ｂ－Ｒ　サーティワン　アイスクリーム,食料品,スタンダード（内国株式）,4060.0,-0.008079822394218507,0.05792760090325387,85.0,22.075235,0.12371001,-
2270.T,雪印メグミルク,食料品,プライム（内国株式）,3655.0,0.2787015101029845,0.23705139928170899,100.0,13.387071,0.096499994,-
227A.T,ＩＮＳＩＧＨＴ　ＬＡＢ,情報・通信業,PRO Market,1230.0,0.0,0.0,0.0,0.0,0.125,-
2286.T,林兼産業,食料品,スタンダード（内国株式）,911.0,0.6569005403917285,0.29542920764705305,43.0,5.211067,0.114379995,-
2288.T,丸大食品,食料品,プライム（内国株式）,2146.0,0.13931894644426526,0.23068897273179612,70.0,13.387222,0.06796,-
2291.T,福留ハム,食料品,スタンダード（内国株式）,513.0,-0.5336363636363637,0.28306798738311895,0.0,0.0,-0.21576999,-
2293.T,滝沢ハム,食料品,スタンダード（内国株式）,2749.0,0.08015717092337918,0.1396300377586692,0.0,0.0,-0.047140002,-
2294.T,柿安本店,食料品,プライム（内国株式）,2556.0,-0.053516738428597686,0.1421817798454153,85.0,41.491127,0.04092,-
2296.T,伊藤ハム米久ホールディングス,食料品,プライム（内国株式）,4935.0,-0.0887936790543032,0.16546393662570708,235.0,19.959734,0.057579998,やや弱気
2301.T,学情,サービス業,プライム（内国株式）,1600.0,-0.11649401702949154,0.2281334907296582,71.0,12.042933,0.11919,強気買い
2303.T,ドーン,情報・通信業,スタンダード（内国株式）,1319.0,0.0029544010123434355,0.3332550312821112,14.0,20.039837,0.1577,-
2323.T,ｆｏｎｆｕｎ,情報・通信業,スタンダード（内国株式）,275.0,0.7045455082836785,0.7728815632622104,0.0,28.642797,0.06981,-
2326.T,デジタルアーツ,情報・通信業,プライム（内国株式）,4575.0,-0.3933751406562187,0.4375850524649275,95.0,23.753178,0.19593,-
2332.T,クエスト,情報・通信業,スタンダード（内国株式）,1725.0,0.19584450128760275,0.44708459518326515,58.0,10.905306,0.10808,-
2335.T,キューブシステム,情報・通信業,プライム（内国株式）,1054.0,-0.07503112557936642,0.17799950554445557,46.0,13.623302,0.0,-
2337.T,いちご,不動産業,プライム（内国株式）,399.0,-0.016872553400802494,0.27831901535115683,11.5,11.467037,0.13936,-
2338.T,クオンタムソリューションズ,情報・通信業,スタンダード（内国株式）,130.0,-0.7286012526096033,1.1496672709199345,0.0,0.0,-2.2692301,-
2340.T,極楽湯ホールディングス,サービス業,スタンダード（内国株式）,511.0,0.040862455546652625,0.09081905028265913,6.0,21.460176,0.16882,-
2341.T,アルバイトタイムス,サービス業,スタンダード（内国株式）,164.0,0.0660280756295553,0.2989328460259618,5.0,21.276596,-0.15362,-
2342.T,トランスジェニックグループ,サービス業,スタンダード（内国株式）,221.0,0.09950248756218906,0.8678479615390794,0.0,0.0,-0.14701,-
2349.T,エヌアイデイ,情報・通信業,スタンダード（内国株式）,2511.0,0.08556953987617714,0.20870827855448318,29.0,10.881342,0.10467,-
2359.T,コア,情報・通信業,プライム（内国株式）,2056.0,0.0739979750411515,0.24140399086157366,60.0,13.495405,0.15379,-
2371.T,カカクコム,サービス業,プライム（内国株式）,3711.0,0.30100960924920084,0.45197342544497693,50.0,21.786179,0.32863998,買い
2375.T,ギグワークス,サービス業,スタンダード（内国株式）,201.0,-0.15183833855109477,0.4240066301652602,2.0,15.827863,0.22941,-
2376.T,サイネックス,サービス業,スタンダード（内国株式）,762.0,-0.048294926997317,0.32729954647222453,15.0,26.525728,0.01742,-
2388.T,ウェッジホールディングス,その他金融業,グロース（内国株式）,37.0,-0.5487804878048781,0.7895455201918754,0.0,0.0,-0.16610001,-
2393.T,日本ケアサプライ,サービス業,スタンダード（内国株式）,4155.0,1.046912008382548,0.42496917990134075,72.0,18.083183,0.12474,-
2395.T,新日本科学,サービス業,プライム（内国株式）,1470.0,0.043510812712519456,0.37160796254894934,50.0,13.459131,0.07981,強気買い
239A.T,バレッグス,不動産業,PRO Market,450.0,0.07913669064748201,0.08058886114230891,33.0,16.363636,0.18634,-
2404.T,鉄人化ホールディングス,サービス業,スタンダード（内国株式）,561.0,-0.10810810810810811,0.21632740826894464,0.0,20.879557,1.0842099,-
2408.T,ＫＧ情報,サービス業,スタンダード（内国株式）,833.0,0.3863583818786795,0.2503597352493449,36.0,16.51416,0.07757,-
2418.T,ツカダ・グローバルホールディング,サービス業,スタンダード（内国株式）,599.0,-0.02800969611734382,0.3148494547019888,13.0,6.4977646,0.123409994,-
2425.T,ケアサービス,サービス業,スタンダード（内国株式）,680.0,-0.1031666786339752,0.14523780272248435,22.0,10.785023,0.11739001,-
2432.T,ディー・エヌ・エー,情報・通信業,プライム（内国株式）,2462.0,0.03542861695838162,0.3123671931169091,66.0,6.662291,0.09747,-
2436.T,共同ピーアール,サービス業,スタンダード（内国株式）,611.0,0.27741333925594225,0.2866683272590296,7.0,10.309597,0.2274,-
2438.T,アスカネット,サービス業,グロース（内国株式）,334.0,-0.19069269146276932,0.3769437852200173,7.0,0.0,-0.04772,-
243A.T,トップス,食料品,PRO Market,1122.0,0.0035778175313059034,0.00364347103554432,4.0,51.824482,0.061750002,-
2445.T,タカミヤ,サービス業,スタンダード（内国株式）,418.0,0.3183014316880533,0.34983218211057354,16.0,14.790528,0.0,-
2449.T,プラップジャパン,サービス業,スタンダード（内国株式）,1081.0,0.03975600660893709,0.18567816304289125,41.0,10.245673,0.09736,-
2454.T,オールアバウト,サービス業,スタンダード（内国株式）,343.0,-0.11138702043076536,0.1754844206812989,1.0,89.32039,-0.0067299996,-
2459.T,アウンコンサルティング,サービス業,スタンダード（内国株式）,173.0,-0.29959514170040485,0.7616968142331098,0.0,0.0,-0.30361998,-
